frequency,impedance
1.0499999999999945,(-378.509424519181+2607.132482034671j)
1.0509999999999944,(-378.14941913162176+2604.6501841919053j)
1.0519999999999943,(-377.79009831062814+2602.172603823586j)
1.0529999999999942,(-377.43146010591505+2599.699727489234j)
1.053999999999994,(-377.0735025745994+2597.2315417993864j)
1.054999999999994,(-376.71622378116393+2594.7680334153392j)
1.0559999999999938,(-376.35962179742313+2592.309189048916j)
1.0569999999999937,(-376.0036947024888+2589.854995462225j)
1.0579999999999936,(-375.64844058273474+2587.405439467426j)
1.0589999999999935,(-375.29385753176234+2584.9605079264843j)
1.0599999999999934,(-374.93994365036735+2582.520187750946j)
1.0609999999999933,(-374.5866970465069+2580.084465901707j)
1.0619999999999932,(-374.2341158352627+2577.653329388762j)
1.062999999999993,(-373.88219813880977+2575.2267652709943j)
1.063999999999993,(-373.53094208638345+2572.804760655935j)
1.0649999999999928,(-373.18034581424484+2570.387302699537j)
1.0659999999999927,(-372.8304074656483+2567.9743786059494j)
1.0669999999999926,(-372.48112519080985+2565.565975627289j)
1.0679999999999925,(-372.13249714687254+2563.1620810634186j)
1.0689999999999924,(-371.78452149787546+2560.7626822617194j)
1.0699999999999923,(-371.4371964147213+2558.3677666168755j)
1.0709999999999922,(-371.0905200751442+2555.977321570648j)
1.071999999999992,(-370.744490663677+2553.5913346116495j)
1.072999999999992,(-370.3991063716221+2551.2097932751476j)
1.0739999999999919,(-370.0543653970169+2548.83268514282j)
1.0749999999999917,(-369.7102659446039+2546.459997842558j)
1.0759999999999916,(-369.36680622580036+2544.0917190482446j)
1.0769999999999915,(-369.0239844586653+2541.7278364795397j)
1.0779999999999914,(-368.68179886787084+2539.368337901674j)
1.0789999999999913,(-368.3402476846697+2537.0132111252274j)
1.0799999999999912,(-367.99932914686605+2534.662444005933j)
1.080999999999991,(-367.6590414987845+2532.316024444454j)
1.081999999999991,(-367.31938299124056+2529.9739403861868j)
1.0829999999999909,(-366.9803518815099+2527.6361798210505j)
1.0839999999999907,(-366.64194643329904+2525.302730783278j)
1.0849999999999906,(-366.30416491671616+2522.9735813512193j)
1.0859999999999905,(-365.9670056082399+2520.6487196471307j)
1.0869999999999904,(-365.6304667906926+2518.3281338369798j)
1.0879999999999903,(-365.29454675320915+2516.011812130238j)
1.0889999999999902,(-364.95924379120817+2513.699742779685j)
1.08999999999999,(-364.6245562063648+2511.3919140812122j)
1.09099999999999,(-364.2904823065805+2509.0883143736187j)
1.0919999999999899,(-363.957020405954+2506.788932038418j)
1.0929999999999898,(-363.62416882475554+2504.493755499646j)
1.0939999999999896,(-363.29192588939577+2502.2027732236606j)
1.0949999999999895,(-362.960289932399+2499.91597371895j)
1.0959999999999894,(-362.6292592923764+2497.6333455359486j)
1.0969999999999893,(-362.2988323139956+2495.35487726683j)
1.0979999999999892,(-361.96900734795554+2493.0805575453314j)
1.098999999999989,(-361.6397827509585+2490.810375046561j)
1.099999999999989,(-361.3111568856812+2488.5443184868027j)
1.1009999999999889,(-360.9831281207503+2486.282376623336j)
1.1019999999999888,(-360.65569483071306+2484.024538254252j)
1.1029999999999887,(-360.32885539601125+2481.770792218259j)
1.1039999999999885,(-360.0026082029558+2479.521127394509j)
1.1049999999999884,(-359.67695164369815+2477.2755327024092j)
1.1059999999999883,(-359.35188411620516+2475.033997101438j)
1.1069999999999882,(-359.0274040242323+2472.796509590973j)
1.107999999999988,(-358.703509777298+2470.563059210097j)
1.108999999999988,(-358.380199790657+2468.333635037432j)
1.1099999999999879,(-358.0574724852751+2466.108226190955j)
1.1109999999999878,(-357.73532628780305+2463.88682182782j)
1.1119999999999877,(-357.41375963055174+2461.6694111441875j)
1.1129999999999876,(-357.09277095146564+2459.4559833750413j)
1.1139999999999874,(-356.7723586940984+2457.246527794022j)
1.1149999999999873,(-356.45252130758666+2455.041033713243j)
1.1159999999999872,(-356.1332572466272+2452.8394904831375j)
1.1169999999999871,(-355.8145649714493+2450.6418874922615j)
1.117999999999987,(-355.4964429477918+2448.4482141671447j)
1.118999999999987,(-355.1788896468782+2446.2584599721104j)
1.1199999999999868,(-354.86190354539144+2444.0726144091063j)
1.1209999999999867,(-354.54548312545063+2441.8906670175447j)
1.1219999999999866,(-354.2296268745856+2439.7126073741233j)
1.1229999999999865,(-353.9143332857146+2437.538425092674j)
1.1239999999999863,(-353.59960085711805+2435.3681098239826j)
1.1249999999999862,(-353.2854280924164+2433.2016512556356j)
1.1259999999999861,(-352.971813500546+2431.039039111852j)
1.126999999999986,(-352.6587555957351+2428.8802631533217j)
1.127999999999986,(-352.34625289748067+2426.725313177042j)
1.1289999999999858,(-352.03430393052565+2424.5741790161646j)
1.1299999999999857,(-351.72290722483444+2422.426850539822j)
1.1309999999999856,(-351.4120613155709+2420.2833176529793j)
1.1319999999999855,(-351.10176474307514+2418.143570296274j)
1.1329999999999854,(-350.79201605284055+2416.0075984458567j)
1.1339999999999852,(-350.48281379549087+2413.8753921132325j)
1.1349999999999851,(-350.17415652675805+2411.746941345111j)
1.135999999999985,(-349.8660428074595+2409.622236223248j)
1.136999999999985,(-349.5584712034758+2407.50126686429j)
